timestamp,tripId,route,day,timeToReachExpressStation,timeToReachDestination
694,067800_2..S01X009,2,Saturday,1488647042,1488647462
694,069000_2..S01X009,2,Saturday,1488647651,1488648071
694,070200_2..S01X009,2,Saturday,1488648360,1488648780
694,071400_2..S01X009,2,Saturday,1488649080,1488649500
694,072600_2..S01X009,2,Saturday,1488649800,1488650220
694,069200_3..S01X008,3,Saturday,1488645859,1488646279
694,070400_3..S01X008,3,Saturday,1488646560,1488646980
694,071600_3..S01X008,3,Saturday,1488647280,1488647700
694,072800_3..S01X008,3,Saturday,1488648000,1488648420
﻿694,067050_1..S02X021,1,Saturday,1488645500,1488646160
694,067850_1..S02X021,1,Saturday,1488645868,1488646528
694,068750_1..S02X021,1,Saturday,1488646492,1488647152
694,069450_1..S02X021,1,Saturday,1488646860,1488647520
694,070250_1..S02X021,1,Saturday,1488647340,1488648000
694,071150_1..S02X021,1,Saturday,1488647880,1488648540
694,071850_1..S02X021,1,Saturday,1488648300,1488648960
694,072650_1..S02X021,1,Saturday,1488648780,1488649440
694,066600_2..S01X009,2,Saturday,1488646195,1488646615
694,067800_2..S01X009,2,Saturday,1488647104,1488647524
694,069000_2..S01X009,2,Saturday,1488647669,1488648089
694,070200_2..S01X009,2,Saturday,1488648360,1488648780
694,071400_2..S01X009,2,Saturday,1488649080,1488649500
694,072600_2..S01X009,2,Saturday,1488649800,1488650220
694,069200_3..S01X008,3,Saturday,1488645859,1488646279
694,070400_3..S01X008,3,Saturday,1488646560,1488646980
694,071600_3..S01X008,3,Saturday,1488647280,1488647700
694,072800_3..S01X008,3,Saturday,1488648000,1488648420
﻿695,067050_1..S02X021,1,Saturday,1488645511,1488646171
695,067850_1..S02X021,1,Saturday,1488645886,1488646546
695,068750_1..S02X021,1,Saturday,1488646525,1488647185
695,069450_1..S02X021,1,Saturday,1488646872,1488647532
695,070250_1..S02X021,1,Saturday,1488647340,1488648000
695,071150_1..S02X021,1,Saturday,1488647880,1488648540
695,071850_1..S02X021,1,Saturday,1488648300,1488648960
695,072650_1..S02X021,1,Saturday,1488648780,1488649440
695,066600_2..S01X009,2,Saturday,1488646195,1488646615
695,067800_2..S01X009,2,Saturday,1488647114,1488647534
695,069000_2..S01X009,2,Saturday,1488647636,1488648056
695,070200_2..S01X009,2,Saturday,1488648360,1488648780
695,071400_2..S01X009,2,Saturday,1488649080,1488649500
695,072600_2..S01X009,2,Saturday,1488649800,1488650220
695,069200_3..S01X008,3,Saturday,1488645834,1488646254
695,070400_3..S01X008,3,Saturday,1488646560,1488646980
695,071600_3..S01X008,3,Saturday,1488647280,1488647700
695,072800_3..S01X008,3,Saturday,1488648000,1488648420
﻿695,067050_1..S02X021,1,Saturday,1488645546,1488646206
695,067850_1..S02X021,1,Saturday,1488645886,1488646546
695,068750_1..S02X021,1,Saturday,1488646522,1488647182
695,069450_1..S02X021,1,Saturday,1488646888,1488647548
695,070250_1..S02X021,1,Saturday,1488647340,1488648000
695,071150_1..S02X021,1,Saturday,1488647880,1488648540
695,071850_1..S02X021,1,Saturday,1488648300,1488648960
695,072650_1..S02X021,1,Saturday,1488648780,1488649440
695,066600_2..S01X009,2,Saturday,1488646186,1488646606
695,067800_2..S01X009,2,Saturday,1488647115,1488647535
695,069000_2..S01X009,2,Saturday,1488647651,1488648071
695,070200_2..S01X009,2,Saturday,1488648360,1488648780
695,071400_2..S01X009,2,Saturday,1488649080,1488649500
695,072600_2..S01X009,2,Saturday,1488649800,1488650220
695,069200_3..S01X008,3,Saturday,1488645856,1488646276
695,070400_3..S01X008,3,Saturday,1488646560,1488646980
695,071600_3..S01X008,3,Saturday,1488647280,1488647700
695,072800_3..S01X008,3,Saturday,1488648000,1488648420
﻿696,067050_1..S02X021,1,Saturday,1488645546,1488646206
696,067850_1..S02X021,1,Saturday,1488645867,1488646527
696,068750_1..S02X021,1,Saturday,1488646536,1488647196
696,069450_1..S02X021,1,Saturday,1488646888,1488647548
696,070250_1..S02X021,1,Saturday,1488647340,1488648000
696,071150_1..S02X021,1,Saturday,1488647880,1488648540
696,071850_1..S02X021,1,Saturday,1488648300,1488648960
696,072650_1..S02X021,1,Saturday,1488648780,1488649440
696,066600_2..S01X009,2,Saturday,1488646186,1488646606
696,067800_2..S01X009,2,Saturday,1488647119,1488647539
696,069000_2..S01X009,2,Saturday,1488647639,1488648059
696,070200_2..S01X009,2,Saturday,1488648360,1488648780
696,071400_2..S01X009,2,Saturday,1488649080,1488649500
696,072600_2..S01X009,2,Saturday,1488649800,1488650220
696,069200_3..S01X008,3,Saturday,1488645856,1488646276
696,070400_3..S01X008,3,Saturday,1488646560,1488646980
696,071600_3..S01X008,3,Saturday,1488647280,1488647700
696,072800_3..S01X008,3,Saturday,1488648000,1488648420
﻿696,067050_1..S02X021,1,Saturday,1488645546,1488646206
696,067850_1..S02X021,1,Saturday,1488645882,1488646542
696,068750_1..S02X021,1,Saturday,1488646520,1488647180
696,069450_1..S02X021,1,Saturday,1488646888,1488647548
696,070250_1..S02X021,1,Saturday,1488647340,1488648000
696,071150_1..S02X021,1,Saturday,1488647880,1488648540
696,071850_1..S02X021,1,Saturday,1488648300,1488648960
696,072650_1..S02X021,1,Saturday,1488648780,1488649440
696,066600_2..S01X009,2,Saturday,1488646186,1488646606
696,067800_2..S01X009,2,Saturday,1488647123,1488647543
696,069000_2..S01X009,2,Saturday,1488647640,1488648060
696,070200_2..S01X009,2,Saturday,1488648360,1488648780
696,071400_2..S01X009,2,Saturday,1488649080,1488649500
696,072600_2..S01X009,2,Saturday,1488649800,1488650220
696,069200_3..S01X008,3,Saturday,1488645849,1488646269
696,070400_3..S01X008,3,Saturday,1488646560,1488646980
696,071600_3..S01X008,3,Saturday,1488647280,1488647700
696,072800_3..S01X008,3,Saturday,1488648000,1488648420
﻿697,067050_1..S02X021,1,Saturday,1488645601,1488646261
697,067850_1..S02X021,1,Saturday,1488645882,1488646542
697,068750_1..S02X021,1,Saturday,1488646520,1488647180
697,069450_1..S02X021,1,Saturday,1488646914,1488647574
697,070250_1..S02X021,1,Saturday,1488647340,1488648000
697,071150_1..S02X021,1,Saturday,1488647880,1488648540
697,071850_1..S02X021,1,Saturday,1488648300,1488648960
697,072650_1..S02X021,1,Saturday,1488648780,1488649440
697,066600_2..S01X009,2,Saturday,1488646233,1488646653
697,067800_2..S01X009,2,Saturday,1488647141,1488647561
697,069000_2..S01X009,2,Saturday,1488647640,1488648060
697,070200_2..S01X009,2,Saturday,1488648360,1488648780
697,071400_2..S01X009,2,Saturday,1488649080,1488649500
697,072600_2..S01X009,2,Saturday,1488649800,1488650220
697,069200_3..S01X008,3,Saturday,1488645849,1488646269
697,070400_3..S01X008,3,Saturday,1488646560,1488646980
697,071600_3..S01X008,3,Saturday,1488647280,1488647700
697,072800_3..S01X008,3,Saturday,1488648000,1488648420
﻿697,067050_1..S02X021,1,Saturday,1488645611,1488646271
697,067850_1..S02X021,1,Saturday,1488645869,1488646529
697,068750_1..S02X021,1,Saturday,1488646535,1488647195
697,069450_1..S02X021,1,Saturday,1488646914,1488647574
697,070250_1..S02X021,1,Saturday,1488647340,1488648000
697,071150_1..S02X021,1,Saturday,1488647880,1488648540
697,071850_1..S02X021,1,Saturday,1488648300,1488648960
697,072650_1..S02X021,1,Saturday,1488648780,1488649440
697,066600_2..S01X009,2,Saturday,1488646233,1488646653
697,067800_2..S01X009,2,Saturday,1488647141,1488647561
697,069000_2..S01X009,2,Saturday,1488647666,1488648086
697,070200_2..S01X009,2,Saturday,1488648360,1488648780
697,071400_2..S01X009,2,Saturday,1488649080,1488649500
697,072600_2..S01X009,2,Saturday,1488649800,1488650220
697,069200_3..S01X008,3,Saturday,1488645867,1488646287
697,070400_3..S01X008,3,Saturday,1488646560,1488646980
697,071600_3..S01X008,3,Saturday,1488647280,1488647700
697,072800_3..S01X008,3,Saturday,1488648000,1488648420
﻿698,067050_1..S02X021,1,Saturday,1488645608,1488646268
698,067850_1..S02X021,1,Saturday,1488645869,1488646529
698,068750_1..S02X021,1,Saturday,1488646535,1488647195
698,069450_1..S02X021,1,Saturday,1488646927,1488647587
698,070250_1..S02X021,1,Saturday,1488647340,1488648000
698,071150_1..S02X021,1,Saturday,1488647880,1488648540
698,071850_1..S02X021,1,Saturday,1488648300,1488648960
698,072650_1..S02X021,1,Saturday,1488648780,1488649440
698,066600_2..S01X009,2,Saturday,1488646216,1488646636
698,067800_2..S01X009,2,Saturday,1488647141,1488647561
698,069000_2..S01X009,2,Saturday,1488647645,1488648065
698,070200_2..S01X009,2,Saturday,1488648360,1488648780
698,071400_2..S01X009,2,Saturday,1488649080,1488649500
698,072600_2..S01X009,2,Saturday,1488649800,1488650220
698,069200_3..S01X008,3,Saturday,1488645867,1488646287
698,070400_3..S01X008,3,Saturday,1488646560,1488646980
698,071600_3..S01X008,3,Saturday,1488647280,1488647700
698,072800_3..S01X008,3,Saturday,1488648000,1488648420
﻿﻿699,067050_1..S02X021,1,Saturday,1488645634,1488646294
699,067850_1..S02X021,1,Saturday,1488645830,1488646490
699,068750_1..S02X021,1,Saturday,1488646539,1488647199
699,069450_1..S02X021,1,Saturday,1488646950,1488647610
699,070250_1..S02X021,1,Saturday,1488647340,1488648000
699,071150_1..S02X021,1,Saturday,1488647880,1488648540
699,071850_1..S02X021,1,Saturday,1488648300,1488648960
699,072650_1..S02X021,1,Saturday,1488648780,1488649440
699,066600_2..S01X009,2,Saturday,1488646212,1488646632
699,067800_2..S01X009,2,Saturday,1488647113,1488647533
699,069000_2..S01X009,2,Saturday,1488647670,1488648090
699,070200_2..S01X009,2,Saturday,1488648360,1488648780
699,071400_2..S01X009,2,Saturday,1488649080,1488649500
699,072600_2..S01X009,2,Saturday,1488649800,1488650220
699,069200_3..S01X008,3,Saturday,1488645874,1488646294
699,070400_3..S01X008,3,Saturday,1488646560,1488646980
699,071600_3..S01X008,3,Saturday,1488647280,1488647700
699,072800_3..S01X008,3,Saturday,1488648000,1488648420
﻿699,067050_1..S02X021,1,Saturday,1488645612,1488646272
699,067850_1..S02X021,1,Saturday,1488645830,1488646490
699,068750_1..S02X021,1,Saturday,1488646539,1488647199
699,069450_1..S02X021,1,Saturday,1488646972,1488647632
699,070250_1..S02X021,1,Saturday,1488647340,1488648000
699,071150_1..S02X021,1,Saturday,1488647880,1488648540
699,071850_1..S02X021,1,Saturday,1488648300,1488648960
699,072650_1..S02X021,1,Saturday,1488648780,1488649440
699,066600_2..S01X009,2,Saturday,1488646212,1488646632
699,067800_2..S01X009,2,Saturday,1488647113,1488647533
699,069000_2..S01X009,2,Saturday,1488647668,1488648088
699,070200_2..S01X009,2,Saturday,1488648360,1488648780
699,071400_2..S01X009,2,Saturday,1488649080,1488649500
699,072600_2..S01X009,2,Saturday,1488649800,1488650220
699,069200_3..S01X008,3,Saturday,1488645866,1488646286
699,070400_3..S01X008,3,Saturday,1488646560,1488646980
699,071600_3..S01X008,3,Saturday,1488647280,1488647700
699,072800_3..S01X008,3,Saturday,1488648000,1488648420
﻿700,067050_1..S02X021,1,Saturday,1488645609,1488646269
700,067850_1..S02X021,1,Saturday,1488645830,1488646490
700,068750_1..S02X021,1,Saturday,1488646527,1488647187
700,069450_1..S02X021,1,Saturday,1488646951,1488647611
700,070250_1..S02X021,1,Saturday,1488647340,1488648000
700,071150_1..S02X021,1,Saturday,1488647880,1488648540
700,071850_1..S02X021,1,Saturday,1488648300,1488648960
700,072650_1..S02X021,1,Saturday,1488648780,1488649440
700,066600_2..S01X009,2,Saturday,1488646267,1488646687
700,067800_2..S01X009,2,Saturday,1488647132,1488647552
700,069000_2..S01X009,2,Saturday,1488647683,1488648103
700,070200_2..S01X009,2,Saturday,1488648360,1488648780
700,071400_2..S01X009,2,Saturday,1488649080,1488649500
700,072600_2..S01X009,2,Saturday,1488649800,1488650220
700,069200_3..S01X008,3,Saturday,1488645887,1488646307
700,070400_3..S01X008,3,Saturday,1488646560,1488646980
700,071600_3..S01X008,3,Saturday,1488647280,1488647700
700,072800_3..S01X008,3,Saturday,1488648000,1488648420
﻿700,067850_1..S02X021,1,Saturday,1488645868,1488646528
700,068750_1..S02X021,1,Saturday,1488646545,1488647205
700,069450_1..S02X021,1,Saturday,1488646965,1488647625
700,070250_1..S02X021,1,Saturday,1488647340,1488648000
700,071150_1..S02X021,1,Saturday,1488647880,1488648540
700,071850_1..S02X021,1,Saturday,1488648300,1488648960
700,072650_1..S02X021,1,Saturday,1488648780,1488649440
700,066600_2..S01X009,2,Saturday,1488646271,1488646691
700,067800_2..S01X009,2,Saturday,1488647132,1488647552
700,069000_2..S01X009,2,Saturday,1488647683,1488648103
700,070200_2..S01X009,2,Saturday,1488648360,1488648780
700,071400_2..S01X009,2,Saturday,1488649080,1488649500
700,072600_2..S01X009,2,Saturday,1488649800,1488650220
700,069200_3..S01X008,3,Saturday,1488645887,1488646307
700,070400_3..S01X008,3,Saturday,1488646560,1488646980
700,071600_3..S01X008,3,Saturday,1488647280,1488647700
700,072800_3..S01X008,3,Saturday,1488648000,1488648420
﻿701,067850_1..S02X021,1,Saturday,1488645897,1488646557
701,068750_1..S02X021,1,Saturday,1488646545,1488647205
701,069450_1..S02X021,1,Saturday,1488646965,1488647625
701,070250_1..S02X021,1,Saturday,1488647340,1488648000
701,071150_1..S02X021,1,Saturday,1488647880,1488648540
701,071850_1..S02X021,1,Saturday,1488648300,1488648960
701,072650_1..S02X021,1,Saturday,1488648780,1488649440
701,066600_2..S01X009,2,Saturday,1488646271,1488646691
701,067800_2..S01X009,2,Saturday,1488647168,1488647588
701,069000_2..S01X009,2,Saturday,1488647647,1488648067
701,070200_2..S01X009,2,Saturday,1488648360,1488648780
701,071400_2..S01X009,2,Saturday,1488649080,1488649500
701,072600_2..S01X009,2,Saturday,1488649800,1488650220
701,069200_3..S01X008,3,Saturday,1488645887,1488646307
701,070400_3..S01X008,3,Saturday,1488646560,1488646980
701,071600_3..S01X008,3,Saturday,1488647280,1488647700
701,072800_3..S01X008,3,Saturday,1488648000,1488648420
﻿701,067850_1..S02X021,1,Saturday,1488645900,1488646560
